Company Name,Job Title,Location,Location-2,Base Salary,Job Description
Carver Companies,Traveling Port Workers,North Charleston, ,N/A,"
Frequently, and/ or in excess of 20 lbs. of force constantly to move objects.
Work for Carver Companies and you will receive competitive pay (up to $30/ hr*),…
"
Century 21 Expert Advisors,Seeking a SC Real Estate License?,Charleston, ,N/A,"
Our company has a proven track record of training and coaching new agents to become top producers faster than the competition.
Job Types: Full-time, Part-time.
"
Nightly Spirits,newGhost Tour Guide,Charleston, ,N/A,"
Schedule: We are currently looking for tour guides to work 3-5 days per week, but possibly more depending on the city and the season.
"
Amazon DSP,newDelivery Associate,Hanahan, ,N/A,"
At least 21 years of age.
Are you at least 21 years old?
Delivery Associates strive to get every order to the customer’s door on-time.
"
Amazon DSP,Delivery Associate,North Charleston, ,N/A,"
At least 21 years of age.
Delivery Associates* strive to get every Amazon order to the customer’s door on-time.
We offer full and part-time opportunities.
"
Walmart,newCDL-A Truck Driver - Earn Up to $105k,Summerville, ,N/A,"
Up to 21 days of PTO during the first year.
Ability to choose the route schedule option that works best for you.
"
Active Day,Driver - Adult Day Center WILL TRAIN! NO NIGHTS/NO WEEKENDS!...,N Charleston, ,Estimated $26.9K - $34.1K a year,"
Minimum of 21 years of age.
* Full-Time, Part-Time and Per-Diem **.
Ensuring members are transported safely whenever they are in your care!
"
Charleston National Golf Club,Snack Bar & Beverage Cart Attendant,Mount Pleasant, ,Estimated $18.3K - $23.1K a year,"
MUST BE 21 OR OLDER TO APPLY*.
Must be able to show up ON TIME.
Current All-day Bar shifts run from 7:30am - close (approx. 6pm - based on volume).
"
On The Mark Demos,Brand Ambassador,Illinois, ,N/A,"
Must be 21 or older .
Must be Energetic, Friendly, Responsible, Outgoing and have the ability to sell!
Must have a valid driver’s license.
"
CBS Studios,THE LATE SHOW WITH STEPHEN COLBERT - Apprentice Program,New York, ,N/A,"
This is a program designed to develop high-potential individuals with a passion for late night comedy and foster a pipeline of diverse talent for future roles…
"
Books-A-Million,newCo-Manager,North Charleston, ,N/A,"
21 years of age or older.
The Co-Manager manages the day to day operation of the store as Manager On-Duty in conjunction with the management team to maximize…
"
State of South Carolina,License Examiner II/ License Examiner III- 128901,Charleston County, ,N/A,"
Must have a valid SC Driver’s License and be 21 years or older.
If so, the Department of Motor Vehicles may have a position for you as a License Examiner.
"
Bristol Bay Native Association,VPSOs,Aleknagik, ,N/A,"
Job knowledge / documentation required: Age requirement is 21 yrs.
OBJECTIVE: Provides a “First Response” to public safety emergencies such as search and rescue…
"
A&C Logistics LLC,Delivery Associate - Delivering Amazon Packages,Hanahan, ,N/A,"
Must be age 21 or older.
Applications must be 21 years of age or older*.
Delivery Associates *strive to get every Amazon order to the customer’s door on-time.
"
"UCI, Inc.",REMOTE Call Center Rep ($15-$25hr PLUS Uncapped Bonuses!),Remote in Texas+1 location, ,N/A,"
Dedicated, Top Performers Earn $21 to $25/hour, PLUS Unlimited Bonuses!*.
Research and contact businesses and get interest to review their current products and…
"
Nightly Spirits,Charleston Actor- Ghost Tour Guide,Charleston, ,N/A,"
Are you 21 years of age or older?
Schedule: We are currently looking for tour guides to work 3-5 days per week, but possibly more depending on the city and the…
"
ChartJoy,newMedical Scribe - Charleston '22 Summer Cohort,Charleston, ,N/A,"
Staffing needs that fit your schedule, both full-time and part-time.
Completing documentation requirements in an Electronic Medical Record (EMR).
"
Driven Dental Marketing,Virtual Patient Advocate (VPA),Remote, ,N/A,"
Compensation is $22 per hour plus commission.
Qualified applicants have experience as a treatment coordinator, office manager, dental hygienist, dental…
"
BOEING,Associate Procurement Agent,North Charleston, ,N/A,"
The position must meet Export Control compliance requirements, therefore a “US Person” as defined by 22 C.F.R.
Some travel may be required for this position.
"
Altar'd State,newGuest Lead,Charleston, ,N/A,"
Reporting to the Store Leadership, the Guest Lead leads and supports management by directing activities required to achieve all store goals, including world…
"
Coastal Community Foundation,Receptionist & Office Coordinator,North Charleston, ,N/A,"
Status: Non-Exempt, Full-Time Employee.
We also have a long history of helping nonprofits build their capacity, and incubating grassroots causes to provide them…
"
BOEING,newExperienced Quality Production Specialist (In-Service Invest...,North Charleston, ,N/A,"
Addresses investigation requests from the 787 customer base.
Responsible for interviewing, collaborating with, and assigning corrective actions to colleagues…
"
Answering Service Care At Home Llc,Remote Operator NC,Remote in North Carolina+6 locations, ,N/A,"
Candidates must provide their own computer (with headset, external keyboard and mouse), internet connection, antivirus protection, and monitor (22"" or larger is…
"
TIGHITCO,Quality Manager,Ladson, ,Estimated $59.7K - $75.5K a year,"
This position must meet Export Control compliance requirements, therefore a “US Person” as defined by 22 C.F.R.
Quality Assurance Managers: 1 year (Preferred).
"
eBridgeWorld,Tutoring online (English Conversation),United States, ,N/A,"
Type of class: English Communication (Speaking & Listening), Not teaching!
Class schedule: between 13:00 p.m. and 22:00 p.m. (Korean Standard Time).
"
Wild Dunes Resort,BARISTA - $14/HR + TIPS +$20/WK GAS STIPEND THRU SEPT '22,Isle of Palms, ,N/A,"
Free room nights, Discounted and Friends & Family Room Rates.
Medical, Prescription, Dental, and Vision Insurance after 30 Days of Employment.
"
Target,newDistribution Operations Manager - Lugoff SC,Lugoff, ,N/A,"
You will foster a “safety first” culture through awareness, training and accountability.
Working with a sense of urgency will help ensure that ensure that…
"
Medical University of South Carolina,Medical Technologist - Diagnostic Microbiology,Charleston, ,N/A,"
Scheduled Work Hours/Shift: 12pm-8:30pm Monday-Friday rotating weekends and holidays.
Job Summary/Purpose: Medical Technologists in Diagnostic Microbiology…
"
Wild Dunes Resort,RESORT RESTAURANT SERVER +$20/WK GAS STIPEND THRU SEPT '22,Isle of Palms, ,N/A,"
Free room nights, Discounted and Friends & Family Room Rates.
Medical, Prescription, Dental, and Vision Insurance after 30 Days of Employment.
"
Medical University of South Carolina,Research Specialist I - Regenerative Medicine,Charleston, ,N/A,"
Employee Type: UNIV - Research Grant.
The candidate will work with the PI and other lab personnel to assist in our ongoing efforts to pursue the origins of…
"
U.S. Holocaust Memorial Museum,newHistorian,Washington, ,N/A,"
If selected, you will be required to be vaccinated against COVID-19 and submit documentation of proof of vaccination by November 22, 2021 or before appointment…
"
Mayo Clinic,newClinical Research Coordinator Virtual Hiring Event,United States, ,N/A,"
Paid Time Off (PTO) – 23 days of PTO within your first year of employment/28 days after 2 years.
Positions may vary in FTE, from supplemental to full-time.
"
Worldwide Flight Services,Warehouse Agent,Pennsylvania, ,N/A,"
Please Text the Word- Warehouse or Ramp to (682)-615-6439.
Part-time/only on weekends (If wanting part-time must work weekends).
"
Osmose Utility Services Inc,Utility Pole Inspection Foreman,Louisiana+52 locations, ,N/A,"
Hire, train, and supervise a field crew of 1-5 people.
Maintain all tools, vehicles, and equipment.
Achieve expected safety, quality, and production goals.
"
Flight Centre Travel Group,"newAir Operations Finance Support - Remote, USA",Remote, ,N/A,"
Air Operations Finance Support - Remote, USA.
Reconciliation for BSP/ARC payments & E-global suppliers.
Weekly adjustments of erroneous files through internal…
"
Smithfield Foods,newHourly General Production Hiring Event,United States+7 locations, ,N/A,"
Production employees at Smithfield handle materials and use hand tools, knives, machinery, and equipment to help deliver good food responsibly to America’s…
"
Smithfield Foods,newMaintenance Supervisor Hiring Event,United States+7 locations, ,N/A,"
Directs maintenance crews in the installation, repair and preventive maintenance of equipment used throughout the plant, facilities, utilities and powerhouse…
"
Georgia Cyber Academy,Remote Elementary School Teachers - All Subjects - SY '22-'2...,Remote in Georgia, ,N/A,"
SUMMARY: *The K-5 instructional teacher oversees the instructional needs of assigned students and the organizational / administrative tasks needed to carry out…
"
Dollar Tree,Warehouse Worker,Berwick, ,N/A,"
Earn up to $23 per hour.
$1000 Sign-on bonus.
Opportunities to earn extra pay through incentive pay.
Full-time and Part-time positions available.
"
Fossil Distance Learning Program,Online Teacher,+1 locationRemote, ,N/A,"
Manage course content in student learning management system.
The distance learning program model is based on a hybrid distance education model wherein teachers…
"
Boldly,Executive Assistant,Remote in Florida+9 locations, ,N/A,"
Starting pay of $23 an hour with regular pay raises throughout your tenure.
Our diverse team includes parents, military spouses, caregivers, and those with…
"
Cardinal Health,newWork From Home - Customer Care Specialist,Remote in United States, ,N/A,"
23 days of Paid Time off after 90-day probation period.
Responsible for answering inbound calls from customers to place orders or reorders of medical supplies.
"
Premiere Building Maintenance Corporation,Staffing Assistant,Charleston, ,N/A,"
Hourly, Non-Exempt $18-$23 per hour.
Looking to hire a staffing assistant that can partner with the local office administrator and field managers to recruit and…
"
Assurant,newRemote Customer Care Specialist,Remote in Georgia+8 locations, ,N/A,"
Generous paid-time-off package with 23 total days, including holidays, within your first year.
The work hours for this position can run anywhere from 8:00am –…
"
State Farm,Part Time Customer Care Center Rep. $18.75/hr,Dunwoody, ,N/A,"
On the job training Weeks 2 and 3: 8/13, 8/16 – 8-19; 8/20, 8/23 – 8/26.
This is a hybrid position that requires spending time working from home and in the…
"
Medical University of South Carolina,newHuman Services Specialist - Student Health & Wellness,Charleston, ,N/A,"
Total scheduled hours for most weeks range from 23 to 26 hour s as needed (- 50% FTE).
Employee Type: UNIV - Temporary Non-Faculty.
"
TELUS International,newCustomer Service Representative (CSR) Virtual Hiring Event,North Charleston, ,N/A,"
Flexibility to work a 40 hr work week during any day/any shift as needed within the program’s hours of operation: 24 hours a day | 7 days a week.
"
TELUS International,newInbound Call Center Representative,Ladson, ,N/A,"
Flexibility to work a 40 hr work week during any day/any shift as needed within the program’s hours of operation: 24 hours | 7 days a week.
"
WestRock,Production Laborer,North Charleston, ,N/A,"
Skills and procedural knowledge are gained through filling in for absences in the mill’s various departments, WestRock’s computer-based learning system, and…
"
Stitch Fix,Stylist,Remote in San Francisco, ,N/A,"
Starting pay is $16.50 per hour with increases every 6 months during the first two years (at 6, 12, 18, and 24 months with the company) and a rate increase at…
"
State of Rhode Island,newFIREFIGHTER,North Kingstown, ,N/A,"
Certifications: Within the first 24 months of appointment the incumbent must be certified in accordance with the Department of Defense accredited firefighter…
"
NEPHRON SC INC,Device Kit Packaging Associate (Temporary Part-Time),Columbia, ,Estimated $24.1K - $30.5K a year,"
The production environment is a 24 hour/7 day a week operation with various shift schedule opportunities.
Device Kit Packaging Associate (Temporary Part-Time).
"
"Under Armour, Inc",Seasonal Stock Associate,North Charleston, ,N/A,"
Confirm receipt of merchandise, ensuring ASN’s are received according to company directive within 24 hours.
Maintain damages and return authorization requests.
"
ASRC Federal Holding Company,newVan Driver,North Charleston, ,N/A,"
Transportation operates 7 days a week 24 hours a day, candidate will be required to work mornings, evenings, weekends and holidays and be very flexible.
"
Amex,Work from Home – Travel Consultant -Travel & Lifestyle Servi...,Remote in Washington, ,N/A,"
You must have the ability to work nights and weekends as we service our Card Members 24 hours a day / 7 days per week.
"
RightDirection Technology Solutions,Postal Clerk,United States, ,N/A,"
Process all Priority and First Class mail, including directory within 24 hours of reception and all other prograde mail received within 48 hours of reception.
"
Tru by Hilton,newFront Desk Agent - FULL TIME!!!,North Charleston, ,Estimated $23.9K - $30.3K a year,"
Security of Guests within a 24 hr Industry.
_7-3 OR 3-11 - flexibility for both shifts and weekend availability is a must!!!
"
US Department of State - Agency Wide,newForeign Affairs Officer,Remote in Washington, ,N/A,"
Have a combination of education and experience where your coursework was equivalent to a major, or a combination of related courses totaling at least 24…
"
Bread Financial,newCollections High Balance Work at Home,Remote, ,N/A,"
Candidates must be able to attend training from June 6, 2022 - June 24, 2022.
The Payment Solutions Advocate receives and/or makes outbound calls to negotiate…
"
State of Ohio Jobs,newREMOTE Unemployment Compensation Examiner/Specialist 1 - 200...,Remote in Ohio, ,N/A,"
24 mos. exp. as an Unemployment Compensation Examiner 2 with the State of Ohio.
24 mos. exp. in interpreting & applying program eligibility &/or liability (e.g.…
"
TSA (Transportation Security Administration),Transportation Security Administration Representative (TSAR),United States, ,N/A,"
Transportation Security Administration Representative (TSAR).
03/31/2022 to 04/29/2022.
Securing Travel, Protecting People - At the Transportation Security…
"
Goodwill,Chief of Staff,North Charleston, ,N/A,"
The employee must occasionally lift and/or move up to 25 pounds.
The Chief of Staff ensures alignment of all systems and processes in support of Palmetto…
"
Epic Games,Game Tester,Cary, ,Estimated $57.5K - $72.9K a year,"
You'll love this role if you're an innovative problem-solver who loves to ask the tough questions; you should be willing and excited to constantly push your own…
"
Pilbara Ports Authority,newMetocean Specialist,Weeks, ,N/A,"
Housing, Electricity and Water (Max. Cost $105 per week).
Residential Role Based in Port Hedland (Relocation Included).
"
Pegasus Steel,newRecruiting Assistant,Goose Creek, ,N/A,"
The associate must occasionally lift up to 25 pounds.
Organizing and filing employee-related documents.
Tracking and scheduling various recruitment-related…
"
Pegasus Steel,newQuality Clerk,Hollywood, ,N/A,"
The associate must occasionally lift up to 25 pounds.
SUMMARY Under supervision, the QMS Clerk performs electronic scanning and filing of Raw Material…
"
Rapid Reliable Testing LLC,Cruise COVID Testing Technician,Charleston, ,N/A,"
If you have a medical certification and want to enjoy some sun and ocean serenity, all while providing covid testing to guests aboard the cruise ships, then…
"
"Professional Research Consultants, Inc",Part-Time Work from Home Phone Survey Interviewer - Texas Re...,Texas, ,N/A,"
FLEXIBLE part-time (12 – 25 hours per week).
Part-time interviewers will be required to use their own computer and maintain a quiet private space when working…
"
Highmark Inc.,newAssociate Claims Processor,Pennsylvania+3 locations, ,N/A,"
Lifting: 10 to 25 pounds.
This job screens, reviews, evaluate online entry, error correction and / or quality control review and final adjudication of paper…
"
NBCUniversal,newVerifications Specialist,Remote, ,N/A,"
Review and processes information submitted for background screen.
Verify ID documents for accuracy.
Request appropriate forms from registrants if needed to…
"
Pilbara Ports Authority,newAdministration Officer,Weeks, ,N/A,"
You will be the type of person who enjoys supporting a team and working in a busy and dynamic environment.
Access to training and development opportunities.
"
EMPWR Solar,Inspection Coordinator,Mount Pleasant, ,N/A,"
As the Inspection Coordinator, you will be responsible for scheduling final inspections required to close out permits, and be one of the final interactions our…
"
LANXESS,Chemical Operator,Charleston, ,N/A,"
Operate all production chemical processing equipment including reactors, feeders, heat exchangers, piping networks, hoses, pumps, valves, instruments, vessels,…
"
Amex,newVirtual Platinum Customer Care Professional,Remote in United States+2 locations, ,N/A,"
Dedicated and separate high-speed Internet with at least 25 Mbps download and 5 Mbps upload speeds: DSL or Cable (no wireless or satellite ISPs allowed).
"
Eworld Solutions,Structural Assembler(Aerospace),North Charleston, ,N/A,"
Lift less than 25 pounds (Occasional lifting of 21-35 pounds), bend and twist at the waist, walk, crawl, crouch, stand for long periods, kneel, reach, climb…
"
Walmart,newTeam Lead,Summerville, ,N/A,"
Moves, lifts, carries, and places merchandise and supplies weighing up to 25 pounds without assistance.
Team Lead (Non-Background Check)*.
"
WestRock,Production Laborer,North Charleston, ,N/A,"
Covered up to 26 weeks.
Skills and procedural knowledge are gained through filling in for absences in the mill’s various departments, WestRock’s computer-based…
"
Dollar General,SALES ASSOCIATE,North Charleston, ,N/A,"
Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel,…
"
Palmetto Summerville Behavioral Health,newHIM/MEDICAL RECORDS SPECIALIST,Summerville, ,N/A,"
We currently have an opening for a Medical Records Specialist.
This position: sorts residents' clinical/medical information alphabetically, chronologically and…
"
Federal Services,newUtilization Review Nurse I - Non-CA,Arizona+2 locations, ,N/A,"
The Utilization Review Nurse I provides first level clinical review for all outpatient and ancillary services requiring authorization.
"
Palmetto Lowcountry Behavioral Health,Housekeeper (Full Time) **Sign on Bonus**,Charleston, ,N/A,"
We are pleased to announce the following available position: Housekeeper (Full Time) **Sign On Bonus Available**.
SoFi Student Loan Refinancing Program.
"
WestRock,Instrument and Electrical Tech Level (E/I) 1,North Charleston, ,N/A,"
Covered up to 26 weeks.
Safely perform work involving the skills of two or more maintenance or craft occupations to service, repair machines and maintain…
"
New Jersey Department of Labor and Workforce...,Data Entry Operator 1,United States+1 location, ,N/A,"
Contribution. Statewide Benefits include health insurance, pension, Flexible Spending Accounts (FSA)/Health Savings Accounts (HSA), life.
"
Home Delivery Inc,newHome Delivery Contract Carrier,North Charleston, ,N/A,"
Own or rent 26 ft Box Truck.
We are expanding our operations and are seeking and matching experienced Independent Contractors to meet the needs of these…
"
King of Pops,Distribution Delivery Driver,Charleston, ,N/A,"
Must be comfortable driving larger delivery vans and trucks (up to 26’ box truck).
STATUS: Part-time to Full-time.
Eligible for raise after 12 months service.
"
Deloitte,neweDiscovery Project Coordinator (Relativity Analytics),Charleston, ,N/A,"
Participates in legal proceedings, i.e. 26(f) conferences, prepares affidavits, and testifies as to the defensibility of the government's eDiscovery process.
"
Eleventh Circuit Court of Appeals,Emergency Preparedness Specialist (Administrative),Atlanta, ,N/A,"
Classification Level/Grade: CL 26 - CL 27.
"
Directlink Logistics,newHIRING NOW!!!!! 26' Box Truck Drivers,Charleston, ,N/A,"
Delivery Route Driver - 26 FT Box Truck.
Operates company owned vehicle on routes for delivery of customer product.
BENEFITS - (Available for full time only).
"
Palmetto Lowcountry Behavioral Health,newUtilization Review Coordinator (PRN),North Charleston, ,N/A,"
Responsible for proactively monitoring the utilization of continuum services and optimize reimbursement for the system.
SoFi Student Loan Refinancing Program.
"
Tennessee Valley Authority,"newAuditor, Level I",United States, ,N/A,"
TVA Nuclear employees are subject to random alcohol and drug tests in accordance with 10 CFR Part 26 as mandated by the Nuclear Regulatory Commission (NRC).
"
Palmetto Lowcountry Behavioral Health,newINTAKE COUNSELOR - Part Time,North Charleston, ,N/A,"
Position Summary: To provide and assess the needs of walk-in and phone callers and ensure their referral to the service or resource that best addresses their…
"
"Dillard's, Inc.",Retail Sales Associate,Charleston, ,N/A,"
Part time hours up to 27 hours/week.
Must be comfortable in sales driven environment.
Weekend and holiday availability a must.
"
Worldwide Flight Services,Job Fair-SRQ,Texas, ,N/A,"Date: Mar 27, 2022 Location: Texas, US Company: Worldwide Flight Services, Inc. Job Fair-Worldwide Flight…"
Beach and Games To Go,newPrep and Maintenance Associate - Beach and Baby Equipment,Mount Pleasant, ,N/A,"
We’re seeking detail-oriented individuals for full-time or part-time responsibilities of rental equipment management, sanitization, and prep for both Beach and…
"
Charleston Baby's Away,newPrep and Maintenance Associate - Baby and Beach Equipment,Mount Pleasant, ,N/A,"
Charleston Baby’s Away has provided baby equipment to the Greater Charleston Area for over 27 years.
We’re seeking detail-oriented individuals for full-time or…
"
"CKS Packaging, Inc.",Machine Operator Trainee,Hanahan, ,Estimated $27.2K - $34.4K a year,"
*Anyone with mechanical experience* such as production utility worker, manufacturing employee, HVAC, auto mechanic, car mechanic, lube technician, home repair,…
"
Charleston Baby's Away,newDelivery and Rental Coordinator,Mount Pleasant, ,N/A,"
Charleston Baby’s Away has provided baby equipment to the Greater Charleston Area for over 27 years.
We’re seeking remarkable individuals for full-time…
"
Walmart,newOvernight Stocking Team Associate Hiring Event,Sumter, ,N/A,"
Ensure aisles are neat and area is clean.
Engage vendors and drivers with a positive attitude.
Greet customers and answer their questions.
"
Eurpac Service Incorporated,newRetail Merchandiser - Commissary - Charleston AFB - P/T - 27...,Charleston, ,N/A,"
Pay rate is $13-$16 per hour and 27 hours per week.
Exchange locations on a specific military base or bases in the United States as defined by Area Manager.
"
US Department of State - Agency Wide,Passport Specialist,Remote in New York, ,N/A,"
If you cannot obtain your graduate school's definition of one year of graduate study, 18 semester hours (or 27 quarter hours) should be considered as satisfying…
"
Spoleto Festival USA,newHouse Manager,Charleston, ,Estimated $36.9K - $46.7K a year,"
We need House Managers who can fill in around 10-15 shifts throughout the duration of the Festival, which runs from May 27 to June 12, 2022.
"
Beach and Games To Go,newDelivery and Rental Coordinator,Mount Pleasant, ,N/A,"
We’re seeking remarkable individuals for full-time responsibilities of delivery and rental equipment for Beach and Games To Go & Charleston Baby’s Away.
"
U.S. Customs and Border Protection,newAuditor,Texas+19 locations, ,N/A,"
If that information is not available, use 18 semester or 27 quarter hours.
Serving as a trainee and team member on audits or other assignments of external…
"
Louisiana State University,Call Center Agent (Remote Work/Flexible Hours),Remote in Baton Rouge, ,N/A,"
Call Center Agent (Remote Work/Flexible Hours).
LSUAM MC - Operations (Michael A Climek (00008244)).
0102 Manship School Research Facility.
"
Beach and Games To Go,Operations Manager - Equipment Rental,Mount Pleasant, ,N/A,"
Hiring 10+ seasonal employees, and 1-3 employees during off-season.
Training team members to meet company goals and expectations.
"
IVS International Inc,Assembler III (Experienced),Ladson, ,N/A,"
Under the supervision of the Production Manager, the Assembler III is responsible for installing, building parts, and assembly as needed.
"
Diesel Barbershop - Nexton Square,newCo-Manager/Manager,Hanahan, ,N/A,"
Earn $28 to $42.00 per hour* (incl. tips, commission, and bonuses).
Diesel Barbershop offers some of the most competitive compensation in the industry.
"
InfoCision Management Corporation,Work from Home Call Center,Remote in Arkansas+31 locations, ,N/A,"
We raise funds, provide customer service, take orders & sell products and services to our customers.
Full-Time and Part-Time Set Schedules.
"
Allstate Insurance,Licensed Insurance Agent,Remote, ,N/A,"
Hourly: $18-$28 plus commission ( Average producer monthly commission $2500-$5000).
We will help you acquire your Non Resident Insurance Producer License.*.
"
Fossil Distance Learning Program,Online Teacher,+1 locationRemote, ,N/A,"
Maintain daily timecards and/or contact logs.
The distance learning program model is based on a hybrid distance education model wherein teachers conduct parent…
"
InfoCision Management Corporation,Work from Home Customer Service Representative,Remote in South Carolina+3 locations, ,N/A,"
We raise funds, provide customer service, take orders & sell products and services to our customers.
Full-Time and Part-Time Set Schedules.
"
"Klen Space, Inc.",Bookkeeper / Office Assistant,Remote, ,N/A,"
Pay is negotiable based upon experience and certifications (e.g. $28 - $36/hr).
Remote Part-time Bookkeeper / Office Assistant.
"
Charlestowne Hotels,Director of Operations,Charleston, ,N/A,"
This person will serve as the primary contact of multiple hotels for operations, sales and marketing, and implementation of brand/corporate initiatives, and…
"
Red Wing Shoes,newRetail Sales Associate Part-Time,North Charleston, ,N/A,"
Red Wing Shoe Store is now hiring a Part Time Sales Associate.
Looking for friendly, motivated person to assist with customers, stock, and merchandising.
"
Medical University of South Carolina,newAdministrative Assistant - Psychiatry: Administration Office,Charleston, ,N/A,"
The candidate will work directly with Vice Chair for Finance & Administration, department Finance Director, Division Administrators/Business Managers, and PIs…
"
Organize To Scale,System Administrator,Remote, ,N/A,"
Network and computer systems administrators are responsible for the day-to-day operation of these networks both for our internal team and external clients.
"
Legacy Supply Chain,newYard Driver,Charleston, ,N/A,"
Chocking trailers as they are spotted for loading and unloading, the placement of nose supports for 28 ft trailers when spotted at dock doors.
"
Mendoza Group,newGraphic Designer,Remote, ,N/A,"
Hourly rate ranges from $22-$28.
_20 hours per week, with opportunity for this position to transition into full-time.
High school diploma or equivalent.
"
"Yazoo River Towing, Inc.",Deckhand,Vicksburg, ,N/A,"
28 day working schedule; seven days a week; followed by 14 days off.
Upkeep and maintenance of our vessels while doing so safely and in accordance with all…
"
Foreign & Commonwealth Office,newInternal Communications and Engagement Officer,Remote in Washington, ,N/A,"
This varied role will require the jobholder to take responsibility for all aspects of Internal Communications across the British Government’s network of…
"
Cigna,newProvider Relations Associate Analyst,Hartford, ,N/A,"
For this position, we anticipate offering an hourly rate of $18 - $28, depending on relevant factors, including experience and geographic location.
"
The Spinx Company,newCustomer Service Rep(341),Wando, ,N/A,"
Job Type: Part Time (29 hours or less per week).
The role of a Customer Service Rep at The Spinx Company requires the employee to work effectively in a team…
"
The American Fence Company,Construction Laborer - $24-$29/Hour,Omaha, ,N/A,"
Health, Dental, Vision, Life & Retirement.
"
US Department of State - Agency Wide,newBanking Specialist,Remote in Charleston, ,N/A,"
Issues foreign currency checks, electronic funds transfers (EFTs) and maintain, control, and reconcile accounts in foreign banks which are used to deposit…
"
Navy Exchange Service Command,SALES ASSOCIATE (PACKAGE STORE) PART TIME *WITH BENEFITS*,Goose Creek, ,Estimated $20.4K – $25.8K a year,"
SALES ASSOCIATE (PACKAGE STORE) PART TIME *WITH BENEFITS*.
You will be directly responsible for assisting customers and helping them recognize the need for our…
"
Averitt,Part-Time Customer Service,Cookeville, ,N/A,"
Answering customer questions as they come through email and chat.
Exceptional sense of professionalism in customer interactions and work presence.
"
Fetch,SEA2 - Kirkland - Delivery Partner,Kirkland, ,N/A,"
We want Delivery Partners that will find excitement in cultivating their own fans and take the extra step to ensure our customers' goods are safely delivered to…
"
SDM BELLE,Cafe Server,Charleston, ,N/A,"
We have *flexible shifts for the students *that we can adjust in regards your home work.
As a Cafe Server, you are responsible for selling by providing…
"
Amazon.com Services LLC,WHS Specialist,Hanahan, ,N/A,"
Knowledge of OSHA regulations specifically 29 CFR 1910.
Minimum of 1 years in an environmental Health & Safety (EHS) related field or bachelor’s degree in…
"
US Department of State - Agency Wide,Passport Specialist,Remote in New York, ,N/A,"
Examines evidence of citizenship submitted with applications to determine and judge authenticity and adequacy in relation to laws, regulation, and procedures…
"
St. Andrew's Parks & Playground,Seasonal Pool Attendant - (Non-Lifeguard),Charleston, ,N/A,"
Hours can vary, up to 29 hours per week.
St. Andrew's Parks and Playground is seeking a pool attendant for our seasonal outdoor pool.
"
North Carolina Eastern Probation and Pretrial...,Sentencing Guidelines Specialist,North Carolina, ,N/A,"Court Name/Organization: North Carolina Eastern Probation and Pretrial Services Location: Any office location within the Eastern District of North Carolina,…"
Keurig Dr Pepper,Transport Driver,Miami, ,N/A,"
Transport Driver- $29 Hourly Pay - Miami, FL.
Hauling Coffee, Beverages, and Packaging (no-touch freight).
Engage and communicate with your fellow team members.
"
State of Delaware,Toll Collector,Newark, ,N/A,"
An incumbent in this class is responsible for determining the correct classification of vehicles, collecting the corresponding toll, and giving change and…
"
St. Andrew's Parks & Playground,newFitness Center - Front Desk Receptionist – Part-time,Charleston, ,N/A,"
This is a part-time position up to a maximum of 29 hours per week.
About St. Andrew's Family Fitness Plus!
Enthusiastically greet customers as they enter and…
"
Eastside For All,newCommunity Response Coordinator,Washington State, ,N/A,"
The Community Response Coordinator willmaintain and foster relationships with community organizations and leaders, convene and facilitate partner meetings,…
"
Alcami,"Manufacturing Technician - 1st, 2nd, and Weekend shifts",Charleston, ,N/A,"
CURRENTLY OFFERING ***$3,000 SIGN ON BONUS***.
COMPREHENSIVE BENEFITS PACKAGE STARTING DAY ONE.
*paid out upon hire and in two additional installments.
"
Walmart,newCDL-A Truck Driver - Earn Up to $105k,Summerville, ,N/A,"
30 months of previous CDL-A experience in the last 48 months.
A minimum of 30 months experience working in a full-time Class A tractor/trailer driving position…
"
"Marriott International, Inc",newCustomer Service Work From Home $16hr,Remote in Austin, ,N/A,"
""Must live within 100 miles of the Austin, TX Customer Engagement Center.
Training Class Schedule: 12:30 PM–9:00 PM CT.
"
Envision,Digital Forensics Analyst,Remote in United States, ,Estimated $77.2K - $97.8K a year,"
This role will conduct forensic analysis in support of cyber security, legal and compliance investigations for a Fortune 30 Healthcare Administrator.
"
GEICO,newAD Trainee,Charleston, ,N/A,"
Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
Your unique skillset, along with the latest auto-adjusting…
"
"SEJ Services, LLC",Weekend Porter,Huger, ,N/A,"
Eligible employees working 30 hrs or more per week:
Hours – 12 hours or less per week depending on the assignment.
Pass a criminal background check.
"
Atomic,newFull-Time Health Coach,+2 locationsRemote, ,Estimated $56.9K - $72.1K a year,"
According to a recent CDC study, nearly 50% of Americans want to lose weight, and on average, Americans have gained 30 lbs during the pandemic.
"
Picanova,Operations Manager,United States, ,N/A,"
Full-time position, available immediately.
Develop and direct programs to ensure the efficient and cost-effective operation and utilization of the facility and…
"
Good Feet,"District Sales Manager - Charleston, SC",Charleston, ,N/A,"
Comprehensive health benefits with eligibility after 30 days of employment; 80% employer contribution to medical, dental, and vision premiums.
"
Pegasus Steel,Shipping Lead,Goose Creek, ,N/A,"
Requires a thorough working knowledge of metals (re: types, grades, specifications) within 30 days of independent training.
Good problem-solving skills in math.
"
